"cc.raw","pyro.raw","patch.raw","precc.raw","elev.raw","lat.raw","whrtype","fir.raw"
99.28,1.32,362.49,43.58823529,2258.823,37.542985178,"NFR",0
99.97,1.57,318.9,52.51428571,2283.805,37.541865327,"NFR",0
99.46,1.87,241.87,60,2312.861,37.540877238,"NFR",0
83.97,2.11,134.16,52.41176471,2339.643,37.539611911,"NFR",0
73.43,2.19,67.08,30.09375,2068.541,37.54802131,"NFR",0
78.49,2.23,84.85,36.66666667,2097.133,37.545832728,"NFR",0
90.22,2.52,134.16,49.11111111,2113.939,37.544062081,"NFR",0
58.61,2.81,0,37.05714286,2128.585,37.542485043,"NFR",0
72.91,3.13,60,39.22857143,2074.618,37.540786439,"NFR",0
29.43,3.17,30,36.11111111,2073.325,37.538817214,"NFR",0
50.89,3.31,60,34.29411765,2079.822,37.536826173,"NFR",0
75.2,3.38,60,33.88235294,2047.468,37.534850128,"NFR",0
64.41,3.08,42.43,24.97142857,2033.901,37.532369544,"NFR",0
0.61,2.09,0,40.44444444,1868.883,41.14163727,"SMC",9.55916666666667
0,2.27,0,33.91666667,1854.507,41.143646025,"NFR",7.1175
16.64,2.46,0,53.26470588,1874.002,41.145342977,"EPN",12.16
22.12,3.07,0,49.45714286,1874.477,41.147147615,"EPN",10.6322857142857
30.43,3.82,0,47.2,1874.551,41.148924961,"NFR",3.75457142857143
66.17,3.66,60,51.66666667,1888.401,41.151181717,"NFR",3.65777777777778
75.09,2.88,84.85,55.6875,1912.57,41.152145075,"NFR",12.1775
93.31,3.79,108.17,64.11428571,1909.244,41.1537776,"NFR",25.6837142857143
0.51,3.58,0,57.39393939,1903.539,41.155154479,"SMC",16.5890909090909
3.92,2.88,0,22.96875,1908.657,41.157303856,"NFR",3.4896875
0,1.32,0,16.75,1967.061,41.160015326,"NFR",1.0725
0.03,1.95,0,32.94285714,1963.44,41.156950001,"NFR",4.36228571428571
26.46,1.78,30,41.05555556,1991.944,41.155800344,"SMC",6.96861111111111
6.54,2.34,0,30.125,2016.39,41.153706863,"NFR",6.24
15.16,2.13,0,30.94594595,2027.125,41.152621857,"NFR",6.03891891891892
2.59,2.4,0,35.54285714,2053.524,41.150690827,"SMC",11.5722857142857
16.06,2.07,0,28.34285714,2078.792,41.149266947,"NFR",10.1871428571429
